   SH_degree    SH_order         g(nT)          h(nT)
           1           0  -1378.58257753614       0.000000000000000E+000
           1           1   222.707145085938        239.581241975619     
           2           0  -399.037353619954       0.000000000000000E+000
           2           1   2446.65461315680       -167.785101433615     
           2           2   35.4022213605078        105.982037801123     
           3           0   1324.04571257047       0.000000000000000E+000
           3           1   2848.81017353846        1554.54947675785     
           3           2  -550.276619236408       -373.878301728365     
           3           3   438.839589970306        633.878056231482     
           4           0  -30.1648423981367       0.000000000000000E+000
           4           1  -62.9382753520568       -14.9701430559031     
           4           2   12.0716954913316        421.740533914435     
           4           3   655.453041376371        617.129169830162     
           4           4   451.636658928346        202.444551569420     
           5           0  -196.124650706368       0.000000000000000E+000
           5           1  -47.8904858365187        230.290653258045     
           5           2  -320.389791057736       -76.6048108238554     
           5           3  -262.937764590206        230.724815799731     
           5           4   372.020306968266        270.996646935363     
           5           5   33.5113393282189       -101.372426038223     
           6           0 -0.762027205155405       0.000000000000000E+000
           6           1  -54.8884333303826        73.6880201204656     
           6           2   40.3118375903174        80.6600115799059     
           6           3  -41.8319728784378        71.8017438867223     
           6           4  -4.55221932326557        50.8536708834765     
           6           5   46.8516719882526        19.5868746302640     
           6           6  -21.3110995249888       -36.9903458397331     
           7           0   8.30508107142552       0.000000000000000E+000
           7           1  -14.8692142133764      -0.434159984905261     
           7           2  0.820415784253776        22.5650781473619     
           7           3  -1.76305644746870        19.8962055546505     
           7           4   21.9629645754994        38.4313464590531     
           7           5   11.3493863277920       -12.0533229411425     
           7           6  -8.58183573565312       4.571124572896333E-002
           7           7  -9.76926236769537        1.43233167886075     
           8           0   3.33344902122911       0.000000000000000E+000
           8           1  0.616002672613925       -1.04313145768670     
           8           2   1.11757865466892        3.27810428368023     
           8           3 -5.989219772847651E-002   1.89294729503789     
           8           4  -2.54241523027105        3.33403357794409     
           8           5   5.39836713022042        3.71761456164942     
           8           6 -4.408281076574323E-002  -5.35623549932081     
           8           7  -5.06921099008179        3.00816878622917     
           8           8 -0.331974519438246        1.59823633882332     
           9           0  0.894419402310527       0.000000000000000E+000
           9           1  0.607509664671933       -1.20334926937546     
           9           2  0.764252557063147       0.794499236008393     
           9           3   1.66936210723287       0.431741188316007     
           9           4  0.370585537746314       0.381704425776000     
           9           5 -0.179046865849662      -0.582185310219263     
           9           6 -0.334108445247400       0.235250762123872     
           9           7  -1.25634141893127      -0.808726232790675     
           9           8 -0.565351568567504        1.35638425018772     
           9           9  0.736621972794383      -2.508172772253429E-002
          10           0 -5.230803921326656E-002  0.000000000000000E+000
          10           1  0.317849062358424      -0.406768460416261     
          10           2 -0.363002408981465      -0.329896063586920     
          10           3  0.249325750089824       4.701041192794367E-003
          10           4  0.117064866049199      -0.141067494734298     
          10           5  1.052455695811851E-002  9.084570584094477E-002
          10           6  0.160243191973591      -0.173291277513599     
          10           7 -0.499454317909565       4.451783640428913E-002
          10           8 -0.168921997228076       0.213946643808977     
          10           9  0.190000086420217       7.137044279435026E-002
          10          10  8.630954740023206E-002 -0.110301838759623     
